IDENTYFIKATOR ZAMÓWIENIA,MARKETPLACE,NAZWA CENTRUM HANDLOWEGO,DATA PŁATNOŚCI ZAMÓWIENIA,TYP SPRZEDAŻY,SKU SPRZEDAWCY,STAWKA VAT OD PRZEDMIOTÓW,ILOŚĆ,"KRAJ WYJŚCIA TRANSAKCJI ",KRAJ PRZYBYCIA TRANSAKCJI,CENA PRODUKTÓW (BEZ VAT),CENA DOTACJI (BEZ VAT),CENA DOTACJI DO WYSYŁKI (BEZ VAT),CENA WYSYŁKI (BEZ VAT),"Etykieta wysyłkowa do zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)","Etykieta wysyłkowa do korekty zwrotu zakupu objętego platformą (wraz z podatkiem, jeśli dotyczy)",KWOTA VAT OD PRZEDMIOTÓW,KWOTA VAT DOTACJI,KWOTA PODATKU VAT DOTACJI DO WYSYŁKI,KWOTA VAT WYSYŁKI,PODATEK CAŁKOWITY,WALUTA,IDENTYFIKATOR FAKTURY,IDENTYFIKATOR FAKTURY SUBWENCYJNEJ
PO-162-06559762679673797,PL,ExclusiveKG,7 sty. 2026,return,56811679933856,23%,1,PL,PL,"-7,83","0,00","0,00","-10,56","0,00","0,00","-1,80","0,00","0,00","-2,43","-4,23",PLN,CN-PL-1220800-2026-2,
PO-162-12313818440310218,PL,ExclusiveKG,16 sty. 2026,sales,68116033832959,23%,1,PL,PL,"38,85","0,00","0,00","10,56","0,00","0,00","8,94","0,00","0,00","2,43","11,37",PLN,INV-PL-1220800-2026-109,
PO-162-13378568387192320,PL,ExclusiveKG,24 sty. 2026,sales,55128052768670,23%,1,PL,PL,"18,88","0,00","0,00","10,56","0,00","0,00","4,34","0,00","0,00","2,43","6,77",PLN,INV-PL-1220800-2026-161,
PO-162-16180121827191751,PL,ExclusiveKG,20 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,44","0,00","0,00","10,56","0,00","0,00","4,02","0,00","0,00","2,43","6,45",PLN,INV-PL-1220800-2026-134,
PO-162-14008214881911977,PL,ExclusiveKG,28 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-192,
PO-162-16528315295353770,PL,ExclusiveKG,2 sty. 2026,sales,56811679933856,23%,1,PL,PL,"12,21","0,00","0,00","10,56","0,00","0,00","2,81","0,00","0,00","2,43","5,24",PLN,,
PO-162-15269868920953561,PL,ExclusiveKG,4 sty. 2026,sales,68928588010641,23%,1,PL,PL,"99,90","0,00","0,00","0,00","0,00","0,00","22,98","0,00","0,00","0,00","22,98",PLN,INV-PL-1220800-2026-41,
PO-162-13139336563833970,PL,ExclusiveKG,24 sty. 2026,sales,58718645412546,23%,2,PL,PL,"24,42","0,00","0,00","10,56","0,00","0,00","5,62","0,00","0,00","2,43","8,05",PLN,INV-PL-1220800-2026-164,
PO-162-08716639109752925,PL,ExclusiveKG,29 sty. 2026,return,55995636157652,23%,0,PL,PL,"0,00","0,00","0,00","-5,07","0,00","0,00","0,00","0,00","0,00","-1,16","-1,16",PLN,,
PO-162-19441647450231335,PL,ExclusiveKG,30 sty. 2026,sales,53315576577817,23%,1,PL,PL,"22,20","0,00","0,00","10,56","0,00","0,00","5,11","0,00","0,00","2,43","7,54",PLN,,
PO-162-00401932247672245,PL,ExclusiveKG,31 sty. 2026,sales,55712168313383,23%,1,PL,PL,"20,96","1,04","0,00","10,56","0,00","0,00","4,82","0,24","0,00","2,43","7,49",PLN,,
PO-162-02040958486390491,PL,ExclusiveKG,7 sty. 2026,sales,64113124347307,23%,1,PL,PL,"74,37","0,00","0,00","0,00","0,00","0,00","17,11","0,00","0,00","0,00","17,11",PLN,INV-PL-1220800-2026-62,
PO-162-12314807035510215,PL,ExclusiveKG,16 sty. 2026,sales,68846178312392,23%,1,PL,PL,"4,45","10,55","0,00","10,56","0,00","0,00","1,03","2,43","0,00","2,43","5,89",PLN,INV-PL-1220800-2026-115,INV-PL-1220800-2026-116
PO-162-21889472087670969,PL,ExclusiveKG,22 sty. 2026,sales,55746528071538,23%,1,PL,PL,"43,29","0,00","0,00","10,56","0,00","0,00","9,96","0,00","0,00","2,43","12,39",PLN,INV-PL-1220800-2026-152,
PO-162-02355228286072232,PL,ExclusiveKG,23 sty. 2026,sales,55995636157652,23%,1,PL,PL,"17,76","0,00","0,00","10,56","0,00","0,00","4,09","0,00","0,00","2,43","6,52",PLN,INV-PL-1220800-2026-144,
